base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
dna_output_k_15_T_1_L_4__rna_output_k_19_T_20_L_5__output	dna_output_k_15_T_1_L_4__rna_output_k_19_T_20_L_5__output_Unique_RNA.tab.rc	dna_output_k_15_T_1_L_4__rna_output_k_19_T_20_L_5__output_Other.tab.rc	dna_output_k_15_T_1_L_4__rna_output_k_19_T_20_L_5__output_Unique_RNAfiltered_dna_output_k_15_T_1_L_4__rna_output_k_19_T_20_L_5__output_Unique_RNA.tab.rc	1699	1609	1600	1575	3319	513556
dna_output_k_15_T_1_L_5__rna_output_k_15_T_30_L_4__output	dna_output_k_15_T_1_L_5__rna_output_k_15_T_30_L_4__output_Unique_RNA.tab.rc	dna_output_k_15_T_1_L_5__rna_output_k_15_T_30_L_4__output_Other.tab.rc	dna_output_k_15_T_1_L_5__rna_output_k_15_T_30_L_4__output_Unique_RNAfiltered_dna_output_k_15_T_1_L_5__rna_output_k_15_T_30_L_4__output_Unique_RNA.tab.rc	0	0	0	0	0	513556
dna_output_k_15_T_20_L_3__rna_output_k_5_T_10_L_4__output	dna_output_k_15_T_20_L_3__rna_output_k_5_T_10_L_4__output_Unique_RNA.tab.rc	dna_output_k_15_T_20_L_3__rna_output_k_5_T_10_L_4__output_Other.tab.rc	dna_output_k_15_T_20_L_3__rna_output_k_5_T_10_L_4__output_Unique_RNAfiltered_dna_output_k_15_T_20_L_3__rna_output_k_5_T_10_L_4__output_Unique_RNA.tab.rc	134416	70601	123001	64435	842006	160870
dna_output_k_15_T_20_L_4__rna_output_k_5_T_1_L_3__output	dna_output_k_15_T_20_L_4__rna_output_k_5_T_1_L_3__output_Unique_RNA.tab.rc	dna_output_k_15_T_20_L_4__rna_output_k_5_T_1_L_3__output_Other.tab.rc	dna_output_k_15_T_20_L_4__rna_output_k_5_T_1_L_3__output_Unique_RNAfiltered_dna_output_k_15_T_20_L_4__rna_output_k_5_T_1_L_3__output_Unique_RNA.tab.rc	134416	70601	123239	64561	842006	160870
dna_output_k_15_T_20_L_5__rna_output_k_19_T_1_L_3__output	dna_output_k_15_T_20_L_5__rna_output_k_19_T_1_L_3__output_Unique_RNA.tab.rc	dna_output_k_15_T_20_L_5__rna_output_k_19_T_1_L_3__output_Other.tab.rc	dna_output_k_15_T_20_L_5__rna_output_k_19_T_1_L_3__output_Unique_RNAfiltered_dna_output_k_15_T_20_L_5__rna_output_k_19_T_1_L_3__output_Unique_RNA.tab.rc	24133	12048	24092	12030	147433	160870
dna_output_k_15_T_30_L_3__rna_output_k_19_T_1_L_4__output	dna_output_k_15_T_30_L_3__rna_output_k_19_T_1_L_4__output_Unique_RNA.tab.rc	dna_output_k_15_T_30_L_3__rna_output_k_19_T_1_L_4__output_Other.tab.rc	dna_output_k_15_T_30_L_3__rna_output_k_19_T_1_L_4__output_Unique_RNAfiltered_dna_output_k_15_T_30_L_3__rna_output_k_19_T_1_L_4__output_Unique_RNA.tab.rc	0	0	0	0	147433	0
dna_output_k_15_T_30_L_4__rna_output_k_5_T_10_L_5__output	dna_output_k_15_T_30_L_4__rna_output_k_5_T_10_L_5__output_Unique_RNA.tab.rc	dna_output_k_15_T_30_L_4__rna_output_k_5_T_10_L_5__output_Other.tab.rc	dna_output_k_15_T_30_L_4__rna_output_k_5_T_10_L_5__output_Unique_RNAfiltered_dna_output_k_15_T_30_L_4__rna_output_k_5_T_10_L_5__output_Unique_RNA.tab.rc	0	0	0	0	842006	0
dna_output_k_15_T_30_L_5__rna_output_k_10_T_20_L_4__output	dna_output_k_15_T_30_L_5__rna_output_k_10_T_20_L_4__output_Unique_RNA.tab.rc	dna_output_k_15_T_30_L_5__rna_output_k_10_T_20_L_4__output_Other.tab.rc	dna_output_k_15_T_30_L_5__rna_output_k_10_T_20_L_4__output_Unique_RNAfiltered_dna_output_k_15_T_30_L_5__rna_output_k_10_T_20_L_4__output_Unique_RNA.tab.rc	0	0	0	0	2070	0
dna_output_k_19_T_10_L_3__rna_output_k_5_T_20_L_3__output	dna_output_k_19_T_10_L_3__rna_output_k_5_T_20_L_3__output_Unique_RNA.tab.rc	dna_output_k_19_T_10_L_3__rna_output_k_5_T_20_L_3__output_Other.tab.rc	dna_output_k_19_T_10_L_3__rna_output_k_5_T_20_L_3__output_Unique_RNAfiltered_dna_output_k_19_T_10_L_3__rna_output_k_5_T_20_L_3__output_Unique_RNA.tab.rc	1150	102	1128	100	2071	555632
dna_output_k_19_T_10_L_4__rna_output_k_15_T_1_L_3__output	dna_output_k_19_T_10_L_4__rna_output_k_15_T_1_L_3__output_Unique_RNA.tab.rc	dna_output_k_19_T_10_L_4__rna_output_k_15_T_1_L_3__output_Other.tab.rc	dna_output_k_19_T_10_L_4__rna_output_k_15_T_1_L_3__output_Unique_RNAfiltered_dna_output_k_19_T_10_L_4__rna_output_k_15_T_1_L_3__output_Unique_RNA.tab.rc	224969	18616	208965	17287	405121	555632
dna_output_k_19_T_10_L_5__rna_output_k_19_T_30_L_5__output	dna_output_k_19_T_10_L_5__rna_output_k_19_T_30_L_5__output_Unique_RNA.tab.rc	dna_output_k_19_T_10_L_5__rna_output_k_19_T_30_L_5__output_Other.tab.rc	dna_output_k_19_T_10_L_5__rna_output_k_19_T_30_L_5__output_Unique_RNAfiltered_dna_output_k_19_T_10_L_5__rna_output_k_19_T_30_L_5__output_Unique_RNA.tab.rc	0	0	0	0	0	555632
dna_output_k_19_T_1_L_3__rna_output_k_5_T_30_L_3__output	dna_output_k_19_T_1_L_3__rna_output_k_5_T_30_L_3__output_Unique_RNA.tab.rc	dna_output_k_19_T_1_L_3__rna_output_k_5_T_30_L_3__output_Other.tab.rc	dna_output_k_19_T_1_L_3__rna_output_k_5_T_30_L_3__output_Unique_RNAfiltered_dna_output_k_19_T_1_L_3__rna_output_k_5_T_30_L_3__output_Unique_RNA.tab.rc	0	0	0	0	0	555632
dna_output_k_19_T_1_L_4__rna_output_k_15_T_20_L_3__output	dna_output_k_19_T_1_L_4__rna_output_k_15_T_20_L_3__output_Unique_RNA.tab.rc	dna_output_k_19_T_1_L_4__rna_output_k_15_T_20_L_3__output_Other.tab.rc	dna_output_k_19_T_1_L_4__rna_output_k_15_T_20_L_3__output_Unique_RNAfiltered_dna_output_k_19_T_1_L_4__rna_output_k_15_T_20_L_3__output_Unique_RNA.tab.rc	1396	127	1375	126	2483	555632
dna_output_k_19_T_1_L_5__rna_output_k_19_T_10_L_3__output	dna_output_k_19_T_1_L_5__rna_output_k_19_T_10_L_3__output_Unique_RNA.tab.rc	dna_output_k_19_T_1_L_5__rna_output_k_19_T_10_L_3__output_Other.tab.rc	dna_output_k_19_T_1_L_5__rna_output_k_19_T_10_L_3__output_Unique_RNAfiltered_dna_output_k_19_T_1_L_5__rna_output_k_19_T_10_L_3__output_Unique_RNA.tab.rc	84361	6596	84222	6587	147433	555632
dna_output_k_19_T_20_L_3__rna_output_k_15_T_10_L_5__output	dna_output_k_19_T_20_L_3__rna_output_k_15_T_10_L_5__output_Unique_RNA.tab.rc	dna_output_k_19_T_20_L_3__rna_output_k_15_T_10_L_5__output_Other.tab.rc	dna_output_k_19_T_20_L_3__rna_output_k_15_T_10_L_5__output_Unique_RNAfiltered_dna_output_k_19_T_20_L_3__rna_output_k_15_T_10_L_5__output_Unique_RNA.tab.rc	93057	5933	84844	5428	405005	230052
dna_output_k_19_T_20_L_4__rna_output_k_19_T_30_L_3__output	dna_output_k_19_T_20_L_4__rna_output_k_19_T_30_L_3__output_Unique_RNA.tab.rc	dna_output_k_19_T_20_L_4__rna_output_k_19_T_30_L_3__output_Other.tab.rc	dna_output_k_19_T_20_L_4__rna_output_k_19_T_30_L_3__output_Unique_RNAfiltered_dna_output_k_19_T_20_L_4__rna_output_k_19_T_30_L_3__output_Unique_RNA.tab.rc	0	0	0	0	0	230052
dna_output_k_19_T_20_L_5__rna_output_k_15_T_20_L_4__output	dna_output_k_19_T_20_L_5__rna_output_k_15_T_20_L_4__output_Unique_RNA.tab.rc	dna_output_k_19_T_20_L_5__rna_output_k_15_T_20_L_4__output_Other.tab.rc	dna_output_k_19_T_20_L_5__rna_output_k_15_T_20_L_4__output_Unique_RNAfiltered_dna_output_k_19_T_20_L_5__rna_output_k_15_T_20_L_4__output_Unique_RNA.tab.rc	482	35	475	34	2483	230052
dna_output_k_19_T_30_L_3__rna_output_k_15_T_20_L_5__output	dna_output_k_19_T_30_L_3__rna_output_k_15_T_20_L_5__output_Unique_RNA.tab.rc	dna_output_k_19_T_30_L_3__rna_output_k_15_T_20_L_5__output_Other.tab.rc	dna_output_k_19_T_30_L_3__rna_output_k_15_T_20_L_5__output_Unique_RNAfiltered_dna_output_k_19_T_30_L_3__rna_output_k_15_T_20_L_5__output_Unique_RNA.tab.rc	0	0	0	0	2483	0
dna_output_k_19_T_30_L_4__rna_output_k_10_T_10_L_3__output	dna_output_k_19_T_30_L_4__rna_output_k_10_T_10_L_3__output_Unique_RNA.tab.rc	dna_output_k_19_T_30_L_4__rna_output_k_10_T_10_L_3__output_Other.tab.rc	dna_output_k_19_T_30_L_4__rna_output_k_10_T_10_L_3__output_Unique_RNAfiltered_dna_output_k_19_T_30_L_4__rna_output_k_10_T_10_L_3__output_Unique_RNA.tab.rc	0	0	0	0	840478	0
