base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
run_0047_Aligned.out_sorted__run_0017_Aligned.out_sorted	run_0047_Aligned.out_sorted__run_0017_Aligned.out_sorted_Unique_RNA.tab.rc	run_0047_Aligned.out_sorted__run_0017_Aligned.out_sorted_Other.tab.rc	run_0047_Aligned.out_sorted__run_0017_Aligned.out_sorted_Unique_RNAfiltered_run_0047_Aligned.out_sorted__run_0017_Aligned.out_sorted_Unique_RNA.tab.rc	222417	135873	214074	131186	405075	538033
run_0048_Aligned.out_sorted__run_0027_Aligned.out_sorted	run_0048_Aligned.out_sorted__run_0027_Aligned.out_sorted_Unique_RNA.tab.rc	run_0048_Aligned.out_sorted__run_0027_Aligned.out_sorted_Other.tab.rc	run_0048_Aligned.out_sorted__run_0027_Aligned.out_sorted_Unique_RNAfiltered_run_0048_Aligned.out_sorted__run_0027_Aligned.out_sorted_Unique_RNA.tab.rc	252103	142612	240682	137642	433411	571622
run_0049_Aligned.out_sorted__run_0033_Aligned.out_sorted	run_0049_Aligned.out_sorted__run_0033_Aligned.out_sorted_Unique_RNA.tab.rc	run_0049_Aligned.out_sorted__run_0033_Aligned.out_sorted_Other.tab.rc	run_0049_Aligned.out_sorted__run_0033_Aligned.out_sorted_Unique_RNAfiltered_run_0049_Aligned.out_sorted__run_0033_Aligned.out_sorted_Unique_RNA.tab.rc	246086	139328	234711	134441	425198	568330
run_0050_Aligned.out_sorted__run_0081_Aligned.out_sorted	run_0050_Aligned.out_sorted__run_0081_Aligned.out_sorted_Unique_RNA.tab.rc	run_0050_Aligned.out_sorted__run_0081_Aligned.out_sorted_Other.tab.rc	run_0050_Aligned.out_sorted__run_0081_Aligned.out_sorted_Unique_RNAfiltered_run_0050_Aligned.out_sorted__run_0081_Aligned.out_sorted_Unique_RNA.tab.rc	246355	140556	235394	135809	426360	567519
run_0051_Aligned.out_sorted__run_0051_Aligned.out_sorted	run_0051_Aligned.out_sorted__run_0051_Aligned.out_sorted_Unique_RNA.tab.rc	run_0051_Aligned.out_sorted__run_0051_Aligned.out_sorted_Other.tab.rc	run_0051_Aligned.out_sorted__run_0051_Aligned.out_sorted_Unique_RNAfiltered_run_0051_Aligned.out_sorted__run_0051_Aligned.out_sorted_Unique_RNA.tab.rc	224256	135143	218849	132637	404643	544164
run_0052_Aligned.out_sorted__run_0060_Aligned.out_sorted	run_0052_Aligned.out_sorted__run_0060_Aligned.out_sorted_Unique_RNA.tab.rc	run_0052_Aligned.out_sorted__run_0060_Aligned.out_sorted_Other.tab.rc	run_0052_Aligned.out_sorted__run_0060_Aligned.out_sorted_Unique_RNAfiltered_run_0052_Aligned.out_sorted__run_0060_Aligned.out_sorted_Unique_RNA.tab.rc	246338	139813	234991	134939	425106	569039
run_0053_Aligned.out_sorted__run_0056_Aligned.out_sorted	run_0053_Aligned.out_sorted__run_0056_Aligned.out_sorted_Unique_RNA.tab.rc	run_0053_Aligned.out_sorted__run_0056_Aligned.out_sorted_Other.tab.rc	run_0053_Aligned.out_sorted__run_0056_Aligned.out_sorted_Unique_RNAfiltered_run_0053_Aligned.out_sorted__run_0056_Aligned.out_sorted_Unique_RNA.tab.rc	252596	143999	240561	138658	437141	567995
run_0054_Aligned.out_sorted__run_0016_Aligned.out_sorted	run_0054_Aligned.out_sorted__run_0016_Aligned.out_sorted_Unique_RNA.tab.rc	run_0054_Aligned.out_sorted__run_0016_Aligned.out_sorted_Other.tab.rc	run_0054_Aligned.out_sorted__run_0016_Aligned.out_sorted_Unique_RNAfiltered_run_0054_Aligned.out_sorted__run_0016_Aligned.out_sorted_Unique_RNA.tab.rc	235010	141679	226367	136962	423519	544581
run_0055_Aligned.out_sorted__run_0001_Aligned.out_sorted	run_0055_Aligned.out_sorted__run_0001_Aligned.out_sorted_Unique_RNA.tab.rc	run_0055_Aligned.out_sorted__run_0001_Aligned.out_sorted_Other.tab.rc	run_0055_Aligned.out_sorted__run_0001_Aligned.out_sorted_Unique_RNAfiltered_run_0055_Aligned.out_sorted__run_0001_Aligned.out_sorted_Unique_RNA.tab.rc	231288	130857	224128	128553	398899	569040
run_0056_Aligned.out_sorted__run_0083_Aligned.out_sorted	run_0056_Aligned.out_sorted__run_0083_Aligned.out_sorted_Unique_RNA.tab.rc	run_0056_Aligned.out_sorted__run_0083_Aligned.out_sorted_Other.tab.rc	run_0056_Aligned.out_sorted__run_0083_Aligned.out_sorted_Unique_RNAfiltered_run_0056_Aligned.out_sorted__run_0083_Aligned.out_sorted_Unique_RNA.tab.rc	241124	130991	229211	126312	406355	582733
run_0057_Aligned.out_sorted__run_0075_Aligned.out_sorted	run_0057_Aligned.out_sorted__run_0075_Aligned.out_sorted_Unique_RNA.tab.rc	run_0057_Aligned.out_sorted__run_0075_Aligned.out_sorted_Other.tab.rc	run_0057_Aligned.out_sorted__run_0075_Aligned.out_sorted_Unique_RNAfiltered_run_0057_Aligned.out_sorted__run_0075_Aligned.out_sorted_Unique_RNA.tab.rc	233061	142725	224229	137774	424894	538031
run_0058_Aligned.out_sorted__run_0032_Aligned.out_sorted	run_0058_Aligned.out_sorted__run_0032_Aligned.out_sorted_Unique_RNA.tab.rc	run_0058_Aligned.out_sorted__run_0032_Aligned.out_sorted_Other.tab.rc	run_0058_Aligned.out_sorted__run_0032_Aligned.out_sorted_Unique_RNAfiltered_run_0058_Aligned.out_sorted__run_0032_Aligned.out_sorted_Unique_RNA.tab.rc	234739	134152	227488	131622	406553	566742
run_0059_Aligned.out_sorted__run_0047_Aligned.out_sorted	run_0059_Aligned.out_sorted__run_0047_Aligned.out_sorted_Unique_RNA.tab.rc	run_0059_Aligned.out_sorted__run_0047_Aligned.out_sorted_Other.tab.rc	run_0059_Aligned.out_sorted__run_0047_Aligned.out_sorted_Unique_RNAfiltered_run_0059_Aligned.out_sorted__run_0047_Aligned.out_sorted_Unique_RNA.tab.rc	231301	130844	224146	128539	398887	569104
run_0060_Aligned.out_sorted__run_0011_Aligned.out_sorted	run_0060_Aligned.out_sorted__run_0011_Aligned.out_sorted_Unique_RNA.tab.rc	run_0060_Aligned.out_sorted__run_0011_Aligned.out_sorted_Other.tab.rc	run_0060_Aligned.out_sorted__run_0011_Aligned.out_sorted_Unique_RNAfiltered_run_0060_Aligned.out_sorted__run_0011_Aligned.out_sorted_Unique_RNA.tab.rc	229208	129736	222081	127425	395563	569106
run_0061_Aligned.out_sorted__run_0013_Aligned.out_sorted	run_0061_Aligned.out_sorted__run_0013_Aligned.out_sorted_Unique_RNA.tab.rc	run_0061_Aligned.out_sorted__run_0013_Aligned.out_sorted_Other.tab.rc	run_0061_Aligned.out_sorted__run_0013_Aligned.out_sorted_Unique_RNAfiltered_run_0061_Aligned.out_sorted__run_0013_Aligned.out_sorted_Unique_RNA.tab.rc	233119	142622	224594	137880	423525	539968
run_0062_Aligned.out_sorted__run_0055_Aligned.out_sorted	run_0062_Aligned.out_sorted__run_0055_Aligned.out_sorted_Unique_RNA.tab.rc	run_0062_Aligned.out_sorted__run_0055_Aligned.out_sorted_Other.tab.rc	run_0062_Aligned.out_sorted__run_0055_Aligned.out_sorted_Unique_RNAfiltered_run_0062_Aligned.out_sorted__run_0055_Aligned.out_sorted_Unique_RNA.tab.rc	248001	139503	236868	134663	424862	573171
run_0063_Aligned.out_sorted__run_0023_Aligned.out_sorted	run_0063_Aligned.out_sorted__run_0023_Aligned.out_sorted_Unique_RNA.tab.rc	run_0063_Aligned.out_sorted__run_0023_Aligned.out_sorted_Other.tab.rc	run_0063_Aligned.out_sorted__run_0023_Aligned.out_sorted_Unique_RNAfiltered_run_0063_Aligned.out_sorted__run_0023_Aligned.out_sorted_Unique_RNA.tab.rc	247740	140779	237031	136297	427747	569097
