base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
dna_output_160_rna_output_160	dna_output_160_rna_output_160_Unique_RNA.tab.rc	dna_output_160_rna_output_160_Other.tab.rc	dna_output_160_rna_output_160_Unique_RNAfiltered_dna_output_160_rna_output_160_Unique_RNA.tab.rc	116618	33508	116585	33500	178193	646343
dna_output_161_rna_output_161	dna_output_161_rna_output_161_Unique_RNA.tab.rc	dna_output_161_rna_output_161_Other.tab.rc	dna_output_161_rna_output_161_Unique_RNAfiltered_dna_output_161_rna_output_161_Unique_RNA.tab.rc	116747	33552	116608	33512	178416	646325
dna_output_162_rna_output_162	dna_output_162_rna_output_162_Unique_RNA.tab.rc	dna_output_162_rna_output_162_Other.tab.rc	dna_output_162_rna_output_162_Unique_RNAfiltered_dna_output_162_rna_output_162_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646374
dna_output_163_rna_output_163	dna_output_163_rna_output_163_Unique_RNA.tab.rc	dna_output_163_rna_output_163_Other.tab.rc	dna_output_163_rna_output_163_Unique_RNAfiltered_dna_output_163_rna_output_163_Unique_RNA.tab.rc	116594	33501	116560	33493	178159	646343
dna_output_164_rna_output_164	dna_output_164_rna_output_164_Unique_RNA.tab.rc	dna_output_164_rna_output_164_Other.tab.rc	dna_output_164_rna_output_164_Unique_RNAfiltered_dna_output_164_rna_output_164_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646383
dna_output_165_rna_output_165	dna_output_165_rna_output_165_Unique_RNA.tab.rc	dna_output_165_rna_output_165_Other.tab.rc	dna_output_165_rna_output_165_Unique_RNAfiltered_dna_output_165_rna_output_165_Unique_RNA.tab.rc	116594	33501	116560	33493	178159	646343
dna_output_166_rna_output_166	dna_output_166_rna_output_166_Unique_RNA.tab.rc	dna_output_166_rna_output_166_Other.tab.rc	dna_output_166_rna_output_166_Unique_RNAfiltered_dna_output_166_rna_output_166_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646374
dna_output_167_rna_output_167	dna_output_167_rna_output_167_Unique_RNA.tab.rc	dna_output_167_rna_output_167_Other.tab.rc	dna_output_167_rna_output_167_Unique_RNAfiltered_dna_output_167_rna_output_167_Unique_RNA.tab.rc	116773	33560	116659	33531	178457	646343
dna_output_168_rna_output_168	dna_output_168_rna_output_168_Unique_RNA.tab.rc	dna_output_168_rna_output_168_Other.tab.rc	dna_output_168_rna_output_168_Unique_RNAfiltered_dna_output_168_rna_output_168_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646374
dna_output_169_rna_output_169	dna_output_169_rna_output_169_Unique_RNA.tab.rc	dna_output_169_rna_output_169_Other.tab.rc	dna_output_169_rna_output_169_Unique_RNAfiltered_dna_output_169_rna_output_169_Unique_RNA.tab.rc	116617	33509	116584	33501	178193	646325
